DATE,GASREGW
1991-01-01,1.18
1991-02-01,1.09425
1991-03-01,1.04
1991-04-01,1.0762
1991-05-01,1.12575
1991-06-01,1.12825
1991-07-01,1.0956
1991-08-01,1.11475
1991-09-01,1.1092
1991-10-01,1.088
1991-11-01,1.099
1991-12-01,1.0762
1992-01-01,1.022
1992-02-01,1.006
1992-03-01,1.0126
1992-04-01,1.05175
1992-05-01,1.10725
1992-06-01,1.1448
1992-07-01,1.1365
1992-08-01,1.1218
1992-09-01,1.1215
1992-10-01,1.114
1992-11-01,1.1112
1992-12-01,1.0775
1993-01-01,1.06175
1993-02-01,1.05425
1993-03-01,1.0522
1993-04-01,1.078
1993-05-01,1.1004
1993-06-01,1.09725
1993-07-01,1.07775
1993-08-01,1.0616
1993-09-01,1.0495
1993-10-01,1.09175
1993-11-01,1.0664
1993-12-01,1.014
1994-01-01,0.9984
1994-02-01,1.009
1994-03-01,1.00775
1994-04-01,1.02725
1994-05-01,1.0474
1994-06-01,1.078
1994-07-01,1.10575
1994-08-01,1.1548
1994-09-01,1.14375
1994-10-01,1.1136
1994-11-01,1.11575
1994-12-01,1.0905
1995-01-01,1.0818
1995-02-01,1.0725
1995-03-01,1.072
1995-04-01,1.11125
1995-05-01,1.1784
1995-06-01,1.1915
1995-07-01,1.1538
1995-08-01,1.12325
1995-09-01,1.11075
1995-10-01,1.0872
1995-11-01,1.06225
1995-12-01,1.07125
1996-01-01,1.0904
1996-02-01,1.08925
1996-03-01,1.137
1996-04-01,1.2306
1996-05-01,1.278
1996-06-01,1.2585
1996-07-01,1.2276
1996-08-01,1.206
1996-09-01,1.2024
1996-10-01,1.204
1996-11-01,1.23225
1996-12-01,1.2352
1997-01-01,1.23625
1997-02-01,1.23
1997-03-01,1.205
1997-04-01,1.199
1997-05-01,1.20025
1997-06-01,1.1976
1997-07-01,1.17425
1997-08-01,1.2235
1997-09-01,1.2314
1997-10-01,1.19675
1997-11-01,1.17075
1997-12-01,1.1314
1998-01-01,1.08625
1998-02-01,1.049
1998-03-01,1.0168
1998-04-01,1.03025
1998-05-01,1.0635
1998-06-01,1.0644
1998-07-01,1.05525
1998-08-01,1.026
1998-09-01,1.00925
1998-10-01,1.01875
1998-11-01,0.9954
1998-12-01,0.945
1999-01-01,0.939
1999-02-01,0.9205
1999-03-01,0.982
1999-04-01,1.131
1999-05-01,1.1306
1999-06-01,1.11425
1999-07-01,1.1575
1999-08-01,1.2208
1999-09-01,1.2555
1999-10-01,1.24425
1999-11-01,1.2514
1999-12-01,1.2725
2000-01-01,1.2888
2000-02-01,1.377
2000-03-01,1.51625
2000-04-01,1.46475
2000-05-01,1.4868
2000-06-01,1.63325
2000-07-01,1.551
2000-08-01,1.4645
2000-09-01,1.55025
2000-10-01,1.5322
2000-11-01,1.51725
2000-12-01,1.44275
2001-01-01,1.4472
2001-02-01,1.44975
2001-03-01,1.40925
2001-04-01,1.5516
2001-05-01,1.70175
2001-06-01,1.61625
2001-07-01,1.4206
2001-08-01,1.42075
2001-09-01,1.5215
2001-10-01,1.3154
2001-11-01,1.1705
2001-12-01,1.086
2002-01-01,1.10725
2002-02-01,1.11375
2002-03-01,1.24925
2002-04-01,1.397
2002-05-01,1.39175
2002-06-01,1.38225
2002-07-01,1.397
2002-08-01,1.39575
2002-09-01,1.3996
2002-10-01,1.44525
2002-11-01,1.419
2002-12-01,1.3858
2003-01-01,1.4575
2003-02-01,1.613
2003-03-01,1.693
2003-04-01,1.589
2003-05-01,1.49725
2003-06-01,1.4928
2003-07-01,1.5125
2003-08-01,1.62025
2003-09-01,1.6788
2003-10-01,1.5635
2003-11-01,1.512
2003-12-01,1.4788
2004-01-01,1.57175
2004-02-01,1.6475
2004-03-01,1.736
2004-04-01,1.79775
2004-05-01,1.9834
2004-06-01,1.96925
2004-07-01,1.91125
2004-08-01,1.878
2004-09-01,1.86975
2004-10-01,1.9995
2004-11-01,1.9794
2004-12-01,1.841
2005-01-01,1.8308
2005-02-01,1.91
2005-03-01,2.07925
2005-04-01,2.2425
2005-05-01,2.1612
2005-06-01,2.1555
2005-07-01,2.29
2005-08-01,2.4862
2005-09-01,2.90325
2005-10-01,2.7168
2005-11-01,2.25675
2005-12-01,2.185
2006-01-01,2.3156
2006-02-01,2.28
2006-03-01,2.42475
2006-04-01,2.742
2006-05-01,2.9068
2006-06-01,2.8845
2006-07-01,2.9806
2006-08-01,2.95175
2006-09-01,2.555
2006-10-01,2.2446
2006-11-01,2.22925
2006-12-01,2.31275
2007-01-01,2.2398
2007-02-01,2.27775
2007-03-01,2.56275
2007-04-01,2.845
2007-05-01,3.146
2007-06-01,3.056
2007-07-01,2.9646
2007-08-01,2.78575
2007-09-01,2.80325
2007-10-01,2.803
2007-11-01,3.08
2007-12-01,3.0184
2008-01-01,3.04275
2008-02-01,3.0275
2008-03-01,3.244
2008-04-01,3.458
2008-05-01,3.76575
2008-06-01,4.0542
2008-07-01,4.0615
2008-08-01,3.7785
2008-09-01,3.7026
2008-10-01,3.05125
2008-11-01,2.147
2008-12-01,1.687
2009-01-01,1.78825
2009-02-01,1.92275
2009-03-01,1.9586
2009-04-01,2.049
2009-05-01,2.2655
2009-06-01,2.6306
2009-07-01,2.5265
2009-08-01,2.6164
2009-09-01,2.554
2009-10-01,2.55125
2009-11-01,2.6514
2009-12-01,2.60725
2010-01-01,2.715
2010-02-01,2.644
2010-03-01,2.7716
2010-04-01,2.84825
2010-05-01,2.8362
2010-06-01,2.7315
2010-07-01,2.72875
2010-08-01,2.7298
2010-09-01,2.705
2010-10-01,2.8005
2010-11-01,2.859
2010-12-01,2.993
2011-01-01,3.0948
2011-02-01,3.211
2011-03-01,3.56125
2011-04-01,3.7995
2011-05-01,3.9062
2011-06-01,3.68
2011-07-01,3.65025
2011-08-01,3.6394
2011-09-01,3.61125
2011-10-01,3.448
2011-11-01,3.38375
2011-12-01,3.26575
2012-01-01,3.38
2012-02-01,3.57925
2012-03-01,3.85175
2012-04-01,3.9004
2012-05-01,3.73225
2012-06-01,3.53875
2012-07-01,3.4392
2012-08-01,3.7215
2012-09-01,3.8485
2012-10-01,3.7456
2012-11-01,3.45175
2012-12-01,3.3104
2013-01-01,3.3185
2013-02-01,3.67
2013-03-01,3.71125
2013-04-01,3.5702
2013-05-01,3.61475
2013-06-01,3.626
